Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute,Total Marks Scored
S00278,Other,19,Arts,11,Hybrid,Yes,Dissatisfied,Yes,No,No,72
S00279,Male,24,Medicine,3,Online,Yes,Very Dissatisfied,Yes,No,,40
S00280,Male,22,Arts,10,Online,Yes,Very Satisfied,No,Yes,Yes,58
S00281,Other,,Arts,9,Offline,Yes,Very Satisfied,No,No,Yes,41
S00282,Other,23,Medicine,5,Online,Yes,Very Dissatisfied,Yes,Yes,No,92
S00283,Other,21,Arts,12,Hybrid,Yes,Dissatisfied,Yes,Yes,No,83
S00284,Female,18,Medicine,5,Online,Yes,Dissatisfied,Yes,No,No,65
S00285,Male,22,Arts,7,Offline,Yes,Neutral,Yes,Yes,No,71
S00286,Other,18,Law,11,Online,,Very Satisfied,No,No,No,45
S00287,Male,22,,12,Hybrid,Yes,Very Satisfied,Yes,Yes,No,71
S00288,Female,25,Medicine,8,Online,Yes,Satisfied,,Yes,Yes,94
S00289,Female,24,Arts,0,Online,Yes,Dissatisfied,No,Yes,No,43
S00290,Other,18,Law,0,Online,Yes,Very Dissatisfied,Yes,No,No,94
S00291,Female,21,Engineering,5,Offline,Yes,Dissatisfied,No,,No,50
S00292,Male,24,Arts,3,Offline,Yes,Dissatisfied,No,Yes,Yes,95
S00293,Other,24,Engineering,10,,Yes,Neutral,No,No,Yes,98
S00294,Male,25,Medicine,3,Offline,Yes,Very Dissatisfied,No,No,Yes,56
S00295,Male,22,Engineering,0,Hybrid,Yes,Neutral,Yes,Yes,Yes,77
S00296,Female,20,Science,8,Hybrid,Yes,Neutral,,Yes,Yes,63
S00297,Female,18,Commerce,11,Offline,Yes,Neutral,Yes,Yes,Yes,44
S00298,Female,18,Science,10,Offline,Yes,Neutral,No,No,Yes,91
S00299,Female,19,Medicine,2,Offline,Yes,Dissatisfied,No,Yes,Yes,73
S00300,Female,22,Medicine,4,Online,Yes,Satisfied,Yes,No,No,45
S00301,,23,Engineering,9,Hybrid,Yes,Dissatisfied,No,No,,61
S00302,Male,20,Law,0,Online,Yes,Neutral,Yes,,No,50
S00303,Male,21,Arts,7,Offline,Yes,Neutral,Yes,Yes,Yes,87
S00304,Male,19,Commerce,2,Hybrid,,Satisfied,No,Yes,No,55
S00305,Male,25,Arts,0,Offline,Yes,Very Satisfied,Yes,No,No,72
S00306,Female,20,Law,9,Online,Yes,Very Dissatisfied,No,Yes,No,48
S00307,Male,22,Medicine,5,Hybrid,Yes,Neutral,Yes,No,No,99
S00308,Other,20,Commerce,0,Online,,Neutral,No,No,Yes,98
S00309,Other,25,Science,2,Hybrid,Yes,Dissatisfied,No,Yes,Yes,45
S00310,Male,24,Medicine,4,Offline,Yes,Neutral,Yes,Yes,No,55
S00311,Male,18,Medicine,3,Hybrid,Yes,Neutral,Yes,No,No,68
S00312,Other,24,Engineering,6,Online,Yes,Very Dissatisfied,No,Yes,Yes,42
S00313,Other,18,Law,5,,No,Dissatisfied,No,Yes,No,59
S00314,Female,19,Engineering,11,Online,Yes,Very Satisfied,No,Yes,No,99
S00315,Other,,Engineering,2,Online,Yes,Neutral,No,No,Yes,98
S00316,Female,22,Arts,10,Offline,Yes,Neutral,Yes,No,Yes,75
S00317,Female,22,Medicine,7,Online,Yes,Very Satisfied,Yes,Yes,Yes,58
S00318,Female,20,,7,Offline,Yes,Satisfied,No,No,No,65
S00319,Female,19,Engineering,1,Hybrid,Yes,Very Satisfied,No,No,No,42
S00320,Female,22,Science,6,Online,Yes,Very Satisfied,No,No,No,58
S00321,Male,23,Commerce,0,Hybrid,Yes,Dissatisfied,Yes,No,Yes,59
S00322,Other,23,Law,1,Hybrid,No,Very Satisfied,Yes,Yes,Yes,71
S00323,Female,24,Arts,7,Offline,Yes,Dissatisfied,No,,No,46
S00324,Other,,Law,11,Online,Yes,Very Satisfied,No,Yes,Yes,91
S00325,Other,20,Medicine,0,Offline,Yes,Neutral,No,No,Yes,80
S00326,Female,21,Arts,1,Online,Yes,,Yes,Yes,Yes,72
S00327,Male,25,Commerce,11,Hybrid,Yes,Satisfied,Yes,No,No,79
S00328,Female,18,Science,0,Offline,Yes,Very Satisfied,No,Yes,No,78
S00329,Male,19,Engineering,4,,Yes,Very Dissatisfied,No,Yes,Yes,57
S00330,Other,22,Law,6,Hybrid,Yes,Very Satisfied,No,No,No,79
S00331,Male,18,Arts,5,Offline,Yes,Very Dissatisfied,Yes,No,Yes,40
S00332,Male,21,Commerce,5,,Yes,Very Satisfied,No,Yes,Yes,50
S00333,Male,21,Engineering,5,Offline,Yes,Dissatisfied,No,Yes,No,67
S00334,Other,,Commerce,,Offline,Yes,Neutral,Yes,Yes,Yes,96
S00335,Other,19,Science,4,Hybrid,No,Very Dissatisfied,No,No,No,64
S00336,Male,18,,9,Hybrid,Yes,Very Dissatisfied,Yes,No,No,89
S00337,Male,20,Engineering,6,Hybrid,Yes,Very Satisfied,No,,No,62
