Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute
S00050,Female,22.0,Engineering,11.0,Offline,Yes,Dissatisfied,No,Yes,No
S00051,Female,25.0,Law,9.0,Online,Yes,Very Satisfied,No,Yes,No
S00052,Male,25.0,Arts,9.0,Hybrid,,Dissatisfied,Yes,Yes,No
S00053,Female,22.0,Arts,0.0,Hybrid,Yes,Neutral,No,No,Yes
S00054,Male,25.0,Arts,10.0,Hybrid,Yes,Satisfied,No,Yes,Yes
S00055,Female,23.0,Engineering,4.0,Online,Yes,,No,No,Yes
S00056,Other,19.0,Medicine,6.0,Offline,Yes,Neutral,No,Yes,Yes
S00057,Other,19.0,Commerce,11.0,Hybrid,Yes,Dissatisfied,No,Yes,No
S00058,Male,25.0,Law,3.0,Offline,Yes,Very Dissatisfied,No,Yes,No
S00059,Other,23.0,Law,8.0,Hybrid,Yes,,Yes,Yes,No
S00060,Other,23.0,Science,5.0,Hybrid,Yes,Satisfied,No,Yes,No
S00061,Female,18.0,Engineering,5.0,Hybrid,,Very Dissatisfied,No,Yes,
S00062,Male,18.0,Medicine,2.0,,Yes,Dissatisfied,No,Yes,No
S00063,Female,20.0,Arts,9.0,Online,Yes,Dissatisfied,Yes,No,Yes
S00064,Female,20.0,Commerce,9.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S00065,,20.0,Engineering,4.0,Offline,,Very Satisfied,No,Yes,No
S00066,Female,20.0,Engineering,9.0,Online,Yes,Dissatisfied,No,No,Yes
S00067,Female,22.0,Medicine,5.0,Hybrid,Yes,Very Dissatisfied,No,Yes,No
S00068,Female,22.0,Commerce,3.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes
S00069,Female,18.0,Arts,12.0,Offline,Yes,Neutral,Yes,Yes,No
S00070,Male,19.0,Engineering,2.0,Offline,Yes,Satisfied,Yes,Yes,
S00071,Other,23.0,Law,4.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No
S00072,Female,24.0,Law,6.0,Hybrid,Yes,Dissatisfied,No,No,Yes
S00073,Female,19.0,Commerce,10.0,Offline,Yes,Satisfied,No,No,No
S00074,,21.0,Arts,5.0,Online,Yes,Very Satisfied,No,Yes,No
S00075,Female,22.0,Commerce,1.0,Hybrid,Yes,,Yes,Yes,Yes
S00076,Female,20.0,Engineering,0.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No
S00077,Female,20.0,Law,4.0,Online,No,Neutral,Yes,Yes,Yes
S00078,Other,21.0,Science,4.0,Offline,Yes,Very Satisfied,No,No,No
S00079,Other,19.0,Commerce,11.0,Online,Yes,Very Satisfied,Yes,Yes,Yes
S00080,Female,20.0,Science,11.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes
S00081,,19.0,Science,5.0,,Yes,Satisfied,,Yes,No
S00082,Male,23.0,Medicine,2.0,Offline,Yes,Neutral,Yes,No,No
S00083,Female,21.0,Law,0.0,,Yes,Very Dissatisfied,No,Yes,No
S00084,Male,24.0,Commerce,3.0,Hybrid,Yes,Very Dissatisfied,,No,No
S00085,Male,19.0,Science,3.0,Hybrid,Yes,Satisfied,No,No,No
S00086,Female,23.0,Engineering,9.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes
S00087,Other,25.0,Medicine,1.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No
S00088,Male,25.0,Arts,7.0,Offline,Yes,Neutral,No,Yes,No
S00089,Female,19.0,,,Offline,Yes,Satisfied,Yes,Yes,Yes
S00090,Male,25.0,Arts,11.0,Offline,Yes,Satisfied,Yes,No,Yes
S00091,Male,19.0,Law,2.0,Hybrid,Yes,Very Satisfied,No,No,No
S00092,Male,20.0,Commerce,0.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S00093,Male,18.0,Commerce,11.0,Offline,Yes,,No,Yes,Yes
S00094,Other,25.0,Arts,10.0,Online,Yes,Neutral,No,No,Yes
S00095,Male,22.0,Engineering,2.0,Online,Yes,Neutral,No,No,No
S00096,Male,19.0,Arts,7.0,Online,Yes,Dissatisfied,Yes,No,No
S00097,Male,19.0,Arts,3.0,Online,,Very Satisfied,No,Yes,No
S00098,Other,19.0,Commerce,2.0,Online,Yes,Dissatisfied,Yes,Yes,No
S00099,Male,18.0,Science,12.0,Offline,No,Dissatisfied,No,Yes,Yes
S00100,,23.0,Engineering,10.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes
S00101,Other,25.0,Commerce,3.0,Online,Yes,Dissatisfied,Yes,No,Yes
S00102,Other,24.0,Medicine,10.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes
S00103,Other,24.0,Arts,3.0,Hybrid,Yes,Very Dissatisfied,No,No,No
S00104,Male,21.0,Science,1.0,Offline,Yes,Very Satisfied,No,No,No
S00105,Other,20.0,Engineering,3.0,Online,Yes,Satisfied,,Yes,Yes
S00106,Other,18.0,Law,10.0,Hybrid,Yes,Satisfied,No,No,Yes
S00107,Male,23.0,Engineering,11.0,Hybrid,,Dissatisfied,Yes,Yes,No
S00108,Other,19.0,Engineering,8.0,,Yes,Satisfied,Yes,Yes,Yes
S00109,Male,23.0,Arts,3.0,Offline,No,Very Satisfied,Yes,No,Yes
S00110,Female,18.0,Arts,11.0,Offline,Yes,Very Dissatisfied,Yes,No,Yes
S00111,Other,18.0,Law,0.0,Online,Yes,Very Satisfied,Yes,No,Yes
S00112,Female,18.0,Law,0.0,Hybrid,Yes,Neutral,,,Yes
S00113,,21.0,Law,0.0,Offline,No,Dissatisfied,No,No,No
S00114,Other,22.0,Commerce,4.0,Offline,Yes,Very Dissatisfied,No,Yes,No
S00115,Male,20.0,Commerce,5.0,Hybrid,Yes,Dissatisfied,Yes,No,No
S00116,Female,21.0,Arts,11.0,Hybrid,Yes,Neutral,No,Yes,Yes
S00117,Male,21.0,Arts,5.0,Hybrid,Yes,Satisfied,No,Yes,No
S00118,Other,25.0,Law,,Hybrid,Yes,Neutral,No,No,Yes
S00119,Other,22.0,Commerce,8.0,Online,Yes,Satisfied,Yes,No,Yes
S00120,Female,21.0,Science,0.0,Hybrid,Yes,Dissatisfied,No,Yes,No
S00121,Male,18.0,Commerce,9.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S00122,Other,18.0,Arts,5.0,Hybrid,Yes,Dissatisfied,Yes,No,No
S00123,Female,25.0,Commerce,12.0,Hybrid,Yes,,No,Yes,No
S00124,Other,23.0,Arts,7.0,Online,Yes,Very Dissatisfied,No,,Yes
S00125,Other,19.0,Law,7.0,Online,Yes,Very Satisfied,Yes,No,No
S00126,Male,21.0,Law,11.0,Hybrid,No,Neutral,Yes,No,No
S00127,,19.0,,2.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S00128,Male,20.0,Science,12.0,Online,Yes,Dissatisfied,Yes,Yes,Yes
S00129,,24.0,Science,4.0,Online,Yes,Dissatisfied,No,Yes,Yes
S00130,Female,18.0,Arts,,Online,Yes,Dissatisfied,Yes,No,
S00131,,23.0,Engineering,3.0,Hybrid,Yes,Satisfied,No,Yes,No
S00132,Male,20.0,Medicine,11.0,Online,Yes,Neutral,Yes,No,No
S00133,Male,25.0,,0.0,Online,Yes,Very Satisfied,Yes,No,No
S00134,Female,23.0,Arts,8.0,Offline,Yes,Neutral,Yes,Yes,Yes
S00135,Other,24.0,Commerce,4.0,Hybrid,Yes,Satisfied,No,No,Yes
S00136,Other,24.0,Law,1.0,Online,Yes,Satisfied,,Yes,No
S00137,Female,25.0,Law,11.0,Offline,Yes,Neutral,No,Yes,No
S00138,Other,22.0,Law,1.0,Online,Yes,Satisfied,No,Yes,Yes
S00139,Other,25.0,Arts,10.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No
S00140,Male,18.0,Law,6.0,Offline,Yes,Dissatisfied,Yes,No,Yes
S00141,Other,20.0,Science,3.0,Offline,Yes,Very Satisfied,Yes,,Yes
S00142,Other,22.0,Commerce,0.0,Hybrid,Yes,Satisfied,No,Yes,Yes
S00143,Female,24.0,Law,4.0,Offline,Yes,Very Satisfied,No,No,No
S00144,,20.0,,1.0,Offline,Yes,Dissatisfied,Yes,No,Yes
S00145,Male,23.0,Commerce,6.0,Online,Yes,Neutral,Yes,Yes,No
S00146,Other,22.0,Law,8.0,Offline,Yes,Dissatisfied,No,No,Yes
S00147,Other,22.0,Engineering,12.0,Hybrid,Yes,Very Satisfied,No,Yes,No
S00148,Other,18.0,Law,0.0,Online,Yes,Very Dissatisfied,Yes,No,Yes
S00149,Male,25.0,Medicine,11.0,Offline,Yes,Neutral,Yes,No,No
S00150,Male,19.0,Science,1.0,Online,Yes,Satisfied,Yes,Yes,No
S00151,Female,23.0,Commerce,10.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes
S00152,,23.0,Science,5.0,Offline,Yes,Dissatisfied,No,No,Yes
S00153,Other,25.0,Engineering,7.0,Hybrid,Yes,,Yes,No,Yes
S00154,Other,22.0,Engineering,6.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes
S00155,Male,22.0,Medicine,8.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes
S00156,Other,18.0,Science,1.0,Offline,Yes,Dissatisfied,No,Yes,No
S00157,Other,19.0,Commerce,11.0,Online,Yes,Neutral,No,Yes,No
S00158,Male,23.0,Engineering,8.0,Hybrid,Yes,Satisfied,Yes,Yes,No
S00159,Male,24.0,Engineering,3.0,Offline,Yes,Very Dissatisfied,Yes,Yes,No
S00160,Other,21.0,Law,10.0,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes
S00161,Other,21.0,Medicine,2.0,Offline,,Very Satisfied,No,Yes,Yes
S00162,,19.0,Arts,6.0,Hybrid,Yes,,No,No,Yes
S00163,Female,,Engineering,4.0,Online,Yes,Very Satisfied,No,Yes,Yes
S00164,Female,18.0,,12.0,Hybrid,Yes,Dissatisfied,No,Yes,
S00165,Female,19.0,,4.0,Offline,Yes,Very Satisfied,Yes,Yes,No
S00166,Male,25.0,Law,11.0,Online,Yes,Dissatisfied,Yes,No,
S00167,Female,25.0,Commerce,12.0,Online,Yes,Very Satisfied,No,Yes,No
S00168,Male,21.0,Law,1.0,Offline,Yes,Dissatisfied,No,Yes,No
S00169,Male,22.0,Engineering,5.0,,Yes,Very Satisfied,No,No,Yes
S00170,Female,,Engineering,5.0,Hybrid,Yes,Satisfied,Yes,No,Yes
S00171,Female,22.0,Engineering,11.0,Hybrid,Yes,Satisfied,No,No,No
S00172,Female,18.0,Engineering,3.0,Offline,Yes,Very Satisfied,Yes,Yes,No
S00173,Other,22.0,Arts,4.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No
S00174,Female,19.0,Medicine,6.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S00175,Other,22.0,Medicine,7.0,Online,Yes,Dissatisfied,No,Yes,Yes
S00176,Male,20.0,Arts,5.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes
S00177,Other,25.0,Engineering,4.0,Offline,Yes,Neutral,No,Yes,No
S00178,Female,19.0,Commerce,11.0,Hybrid,Yes,Very Satisfied,No,Yes,No
S00179,Male,25.0,Law,2.0,Online,Yes,Very Satisfied,,No,No
S00180,,,Medicine,6.0,Online,Yes,Very Satisfied,Yes,No,Yes
S00181,Male,19.0,Science,7.0,Hybrid,Yes,Very Satisfied,No,Yes,No
S00182,Other,20.0,Law,2.0,Online,Yes,Dissatisfied,Yes,No,Yes
S00183,Female,18.0,Science,4.0,Offline,Yes,Dissatisfied,,No,Yes
S00184,Male,21.0,Science,10.0,Hybrid,Yes,Neutral,No,Yes,Yes
S00185,Male,20.0,Engineering,1.0,Hybrid,No,Dissatisfied,No,Yes,Yes
S00186,Male,18.0,Science,9.0,Online,Yes,Very Satisfied,,,Yes
S00187,Other,24.0,Engineering,9.0,Offline,Yes,,No,No,No
S00188,Other,22.0,Arts,11.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes
S00189,Female,19.0,Commerce,3.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes
S00190,Other,18.0,,11.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S00191,Male,19.0,Commerce,3.0,Online,Yes,Very Satisfied,No,No,No
S00192,Female,22.0,Engineering,11.0,Offline,Yes,Dissatisfied,Yes,Yes,No
S00193,Male,18.0,Science,12.0,Offline,Yes,Very Satisfied,No,Yes,Yes
S00194,Male,,Law,7.0,Online,Yes,Very Dissatisfied,No,Yes,Yes
S00195,Other,24.0,Arts,2.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes
S00196,Female,24.0,Medicine,4.0,Online,Yes,Satisfied,Yes,Yes,No
S00197,Other,20.0,,10.0,Hybrid,Yes,Satisfied,No,Yes,Yes
S00198,Other,18.0,Science,4.0,Online,Yes,Dissatisfied,No,Yes,No
S00199,Female,22.0,Arts,1.0,Online,No,Dissatisfied,Yes,Yes,No
S00200,Male,18.0,Medicine,,Online,No,Dissatisfied,No,Yes,Yes
S00201,Male,19.0,Law,3.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S00202,,23.0,Commerce,8.0,Offline,Yes,Dissatisfied,,Yes,No
S00203,Male,25.0,Law,8.0,,Yes,Dissatisfied,Yes,Yes,Yes
S00204,Female,18.0,Arts,1.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes
S00205,Female,24.0,Medicine,8.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes
S00206,Other,,Commerce,8.0,Online,Yes,,Yes,,Yes
S00207,Female,25.0,Medicine,1.0,Offline,Yes,Very Dissatisfied,No,No,Yes
S00208,,24.0,Law,10.0,Hybrid,Yes,Very Satisfied,Yes,No,
S00209,Male,21.0,Engineering,12.0,Hybrid,Yes,Neutral,No,Yes,Yes
S00210,Male,18.0,Engineering,5.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No
S00211,Male,20.0,Commerce,8.0,Hybrid,Yes,Dissatisfied,No,No,No
S00212,Male,18.0,Commerce,3.0,Online,Yes,Neutral,Yes,Yes,No
S00213,Other,23.0,Commerce,1.0,Offline,Yes,Very Dissatisfied,Yes,No,Yes
S00214,Male,24.0,Engineering,6.0,Hybrid,Yes,Very Dissatisfied,No,No,Yes
S00215,Female,19.0,Law,8.0,Online,Yes,Satisfied,No,No,No
S00216,Female,,Commerce,5.0,Online,Yes,Dissatisfied,Yes,Yes,Yes
S00217,Female,,Engineering,10.0,Online,Yes,Dissatisfied,Yes,Yes,No
S00218,Other,21.0,Commerce,10.0,Offline,Yes,Satisfied,No,Yes,Yes
S00219,Male,22.0,Commerce,3.0,Online,No,Very Satisfied,No,Yes,Yes
S00220,Male,18.0,Medicine,0.0,Offline,No,Satisfied,Yes,Yes,Yes
S00221,Male,18.0,Commerce,3.0,Offline,Yes,,Yes,Yes,Yes
S00222,Other,20.0,,2.0,Offline,,Very Dissatisfied,No,Yes,Yes
S00223,Female,21.0,Law,6.0,Offline,No,Satisfied,Yes,No,No
S00224,Female,23.0,Engineering,10.0,Online,Yes,Neutral,Yes,Yes,No
S00225,Male,22.0,Engineering,12.0,Online,Yes,,No,No,No
S00226,Female,24.0,Commerce,10.0,Online,Yes,,No,No,No
S00227,,19.0,Medicine,9.0,Hybrid,No,Very Dissatisfied,Yes,Yes,No
S00228,Other,18.0,Science,4.0,Hybrid,,Very Satisfied,Yes,Yes,No
S00229,Other,23.0,Science,11.0,Offline,Yes,Very Dissatisfied,No,No,
S00230,Other,22.0,Science,2.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S00231,Other,19.0,Engineering,1.0,Offline,Yes,Very Satisfied,No,No,Yes
S00232,Male,23.0,Commerce,12.0,Offline,Yes,Very Satisfied,No,No,Yes
S00233,Other,21.0,Science,1.0,Offline,No,Satisfied,No,Yes,No
S00234,Female,21.0,Arts,4.0,Hybrid,Yes,Very Dissatisfied,Yes,,Yes
S00235,Male,22.0,Arts,12.0,Offline,Yes,Very Satisfied,No,Yes,Yes
S00236,Female,24.0,,12.0,Online,No,Very Satisfied,No,No,Yes
S00237,Female,25.0,Law,7.0,Offline,Yes,Very Dissatisfied,No,Yes,No
S00238,Female,19.0,Commerce,7.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S00239,,21.0,Engineering,11.0,Online,Yes,Neutral,Yes,Yes,Yes
S00240,Other,25.0,Engineering,4.0,Online,Yes,Satisfied,No,No,No
S00241,Male,22.0,Commerce,12.0,Online,Yes,Very Satisfied,Yes,No,No
S00242,Male,21.0,Medicine,,Offline,No,Very Dissatisfied,No,No,No
S00243,Other,21.0,Medicine,12.0,Offline,Yes,Very Satisfied,No,Yes,Yes
S00244,Female,23.0,Law,3.0,Offline,,Neutral,No,Yes,No
S00245,Male,25.0,Commerce,6.0,Offline,Yes,Neutral,,Yes,Yes
S00246,Other,23.0,Medicine,5.0,Offline,Yes,Very Satisfied,Yes,No,No
S00247,,21.0,Law,9.0,Hybrid,Yes,Satisfied,Yes,No,No
S00248,Other,25.0,Science,6.0,Online,Yes,Dissatisfied,No,Yes,No
S00249,Female,20.0,Science,4.0,Online,Yes,Very Satisfied,Yes,No,Yes
S00250,Other,25.0,Law,1.0,Hybrid,Yes,Neutral,No,Yes,No
S00251,Other,23.0,Commerce,7.0,Hybrid,Yes,Satisfied,Yes,No,Yes
S00252,Other,19.0,Science,11.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes
S00253,Other,22.0,Commerce,1.0,Offline,Yes,Satisfied,No,Yes,No
S00254,Male,22.0,Medicine,11.0,Online,Yes,Satisfied,Yes,No,Yes
S00255,Male,24.0,Science,7.0,Offline,Yes,Very Satisfied,No,No,Yes
S00256,Other,19.0,Medicine,6.0,Online,Yes,Satisfied,Yes,Yes,Yes
S00257,Female,19.0,Commerce,2.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes
S00258,Male,19.0,Commerce,12.0,Offline,Yes,Very Satisfied,No,No,No
S00259,Other,24.0,Arts,3.0,Online,Yes,Neutral,Yes,No,Yes
S00260,Male,19.0,Law,12.0,,Yes,Very Dissatisfied,No,No,No
S00261,Male,18.0,Engineering,6.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes
S00262,Female,24.0,Law,3.0,Offline,Yes,,No,Yes,Yes
S00263,Other,22.0,Commerce,8.0,Hybrid,Yes,Dissatisfied,,No,No
S00264,,18.0,Commerce,6.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes
S00265,Female,24.0,Law,0.0,Hybrid,Yes,Satisfied,Yes,Yes,No
S00266,Female,21.0,Commerce,0.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes
S00267,Other,21.0,Medicine,3.0,Online,Yes,Very Dissatisfied,No,Yes,No
S00268,Other,22.0,Science,12.0,Hybrid,Yes,,Yes,Yes,No
S00269,Female,21.0,Commerce,8.0,Offline,Yes,Satisfied,Yes,Yes,
S00270,Male,19.0,Law,12.0,Online,Yes,Dissatisfied,No,No,Yes
S00271,Male,24.0,Law,3.0,Hybrid,Yes,,No,Yes,No
S00272,Female,18.0,Law,12.0,Online,Yes,Dissatisfied,Yes,No,Yes
S00273,Male,19.0,Arts,4.0,,Yes,Very Dissatisfied,,Yes,No
S00274,Female,21.0,Medicine,0.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S00275,Male,23.0,Medicine,1.0,Offline,Yes,Neutral,,No,Yes
S00276,Male,25.0,Arts,10.0,Online,Yes,Satisfied,No,Yes,Yes
S00277,Other,18.0,Medicine,3.0,Hybrid,Yes,Satisfied,No,Yes,No
S00278,Other,19.0,Arts,11.0,Hybrid,Yes,Dissatisfied,Yes,No,No
S00279,Male,24.0,Medicine,3.0,Online,Yes,Very Dissatisfied,Yes,No,
S00280,Male,22.0,Arts,10.0,Online,Yes,Very Satisfied,No,Yes,Yes
S00281,Other,,Arts,9.0,Offline,Yes,Very Satisfied,No,No,Yes
S00282,Other,23.0,Medicine,5.0,Online,Yes,Very Dissatisfied,Yes,Yes,No
S00283,Other,21.0,Arts,12.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No
S00284,Female,18.0,Medicine,5.0,Online,Yes,Dissatisfied,Yes,No,No
S00285,Male,22.0,Arts,7.0,Offline,Yes,Neutral,Yes,Yes,No
S00286,Other,18.0,Law,11.0,Online,,Very Satisfied,No,No,No
S00287,Male,22.0,,12.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No
S00288,Female,25.0,Medicine,8.0,Online,Yes,Satisfied,,Yes,Yes
S00289,Female,24.0,Arts,0.0,Online,Yes,Dissatisfied,No,Yes,No
S00290,Other,18.0,Law,0.0,Online,Yes,Very Dissatisfied,Yes,No,No
S00291,Female,21.0,Engineering,5.0,Offline,Yes,Dissatisfied,No,,No
S00292,Male,24.0,Arts,3.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S00293,Other,24.0,Engineering,10.0,,Yes,Neutral,No,No,Yes
S00294,Male,25.0,Medicine,3.0,Offline,Yes,Very Dissatisfied,No,No,Yes
S00295,Male,22.0,Engineering,0.0,Hybrid,Yes,Neutral,Yes,Yes,Yes
S00296,Female,20.0,Science,8.0,Hybrid,Yes,Neutral,,Yes,Yes
S00297,Female,18.0,Commerce,11.0,Offline,Yes,Neutral,Yes,Yes,Yes
S00298,Female,18.0,Science,10.0,Offline,Yes,Neutral,No,No,Yes
S00299,Female,19.0,Medicine,2.0,Offline,Yes,Dissatisfied,No,Yes,Yes
S00300,Female,22.0,Medicine,4.0,Online,Yes,Satisfied,Yes,No,No
S00301,,23.0,Engineering,9.0,Hybrid,Yes,Dissatisfied,No,No,
S00302,Male,20.0,Law,0.0,Online,Yes,Neutral,Yes,,No
S00303,Male,21.0,Arts,7.0,Offline,Yes,Neutral,Yes,Yes,Yes
S00304,Male,19.0,Commerce,2.0,Hybrid,,Satisfied,No,Yes,No
S00305,Male,25.0,Arts,0.0,Offline,Yes,Very Satisfied,Yes,No,No
S00306,Female,20.0,Law,9.0,Online,Yes,Very Dissatisfied,No,Yes,No
S00307,Male,22.0,Medicine,5.0,Hybrid,Yes,Neutral,Yes,No,No
S00308,Other,20.0,Commerce,0.0,Online,,Neutral,No,No,Yes
S00309,Other,25.0,Science,2.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes
S00310,Male,24.0,Medicine,4.0,Offline,Yes,Neutral,Yes,Yes,No
S00311,Male,18.0,Medicine,3.0,Hybrid,Yes,Neutral,Yes,No,No
S00312,Other,24.0,Engineering,6.0,Online,Yes,Very Dissatisfied,No,Yes,Yes
S00313,Other,18.0,Law,5.0,,No,Dissatisfied,No,Yes,No
S00314,Female,19.0,Engineering,11.0,Online,Yes,Very Satisfied,No,Yes,No
S00315,Other,,Engineering,2.0,Online,Yes,Neutral,No,No,Yes
S00316,Female,22.0,Arts,10.0,Offline,Yes,Neutral,Yes,No,Yes
S00317,Female,22.0,Medicine,7.0,Online,Yes,Very Satisfied,Yes,Yes,Yes
S00318,Female,20.0,,7.0,Offline,Yes,Satisfied,No,No,No
S00319,Female,19.0,Engineering,1.0,Hybrid,Yes,Very Satisfied,No,No,No
S00320,Female,22.0,Science,6.0,Online,Yes,Very Satisfied,No,No,No
S00321,Male,23.0,Commerce,0.0,Hybrid,Yes,Dissatisfied,Yes,No,Yes
S00322,Other,23.0,Law,1.0,Hybrid,No,Very Satisfied,Yes,Yes,Yes
S00323,Female,24.0,Arts,7.0,Offline,Yes,Dissatisfied,No,,No
