Student_ID,Gender,Age,Field_of_Study,Study_Hours_per_Day,Mode_of_Learning,Internet_Access,Satisfied_with_Learning_Environment,Participates_in_Extracurriculars,Feels_Stressed,Would_Recommend_Institute,Total Marks Scored
S00036,Female,19.0,Law,10.0,Hybrid,No,Satisfied,No,No,No,78.0
S00037,,18.0,Engineering,8.0,Hybrid,No,Neutral,No,No,No,69.0
S00038,Other,23.0,Science,9.0,Online,Yes,,No,Yes,Yes,68.0
S00039,Male,23.0,Engineering,6.0,Hybrid,Yes,Satisfied,No,,No,44.0
S00040,Other,18.0,Engineering,6.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,47.0
S00041,Male,25.0,Engineering,7.0,Hybrid,Yes,Satisfied,Yes,Yes,No,57.0
S00042,Other,23.0,Arts,0.0,Online,Yes,Neutral,No,No,No,40.0
S00043,,21.0,Arts,3.0,Online,Yes,Neutral,Yes,Yes,Yes,40.0
S00044,Male,22.0,Medicine,9.0,Online,Yes,,No,Yes,Yes,75.0
S00045,Male,20.0,Medicine,9.0,Online,Yes,Dissatisfied,No,Yes,Yes,73.0
S00046,Other,25.0,Science,3.0,Online,Yes,Very Satisfied,Yes,Yes,Yes,40.0
S00047,Female,21.0,Engineering,11.0,Offline,Yes,Very Dissatisfied,No,Yes,,92.0
S00048,Male,24.0,Science,8.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,68.0
S00049,,24.0,Arts,2.0,Offline,Yes,Neutral,Yes,Yes,No,40.0
S00050,Female,22.0,Engineering,11.0,Offline,Yes,Dissatisfied,No,Yes,No,88.0
S00051,Female,25.0,Law,9.0,Online,Yes,Very Satisfied,No,Yes,No,77.0
S00052,Male,25.0,Arts,9.0,Hybrid,,Dissatisfied,Yes,Yes,No,69.0
S00053,Female,22.0,Arts,0.0,Hybrid,Yes,Neutral,No,No,Yes,40.0
S00054,Male,25.0,Arts,10.0,Hybrid,Yes,Satisfied,No,Yes,Yes,82.0
S00055,Female,23.0,Engineering,4.0,Online,Yes,,No,No,Yes,40.0
S00056,Other,19.0,Medicine,6.0,Offline,Yes,Neutral,No,Yes,Yes,43.0
S00057,Other,19.0,Commerce,11.0,Hybrid,Yes,Dissatisfied,No,Yes,No,89.0
S00058,Male,25.0,Law,3.0,Offline,Yes,Very Dissatisfied,No,Yes,No,40.0
S00059,Other,23.0,Law,8.0,Hybrid,Yes,,Yes,Yes,No,63.0
S00060,Other,23.0,Science,5.0,Hybrid,Yes,Satisfied,No,Yes,No,40.0
S00061,Female,18.0,Engineering,5.0,Hybrid,,Very Dissatisfied,No,Yes,,43.0
S00062,Male,18.0,Medicine,2.0,,Yes,Dissatisfied,No,Yes,No,40.0
S00063,Female,20.0,Arts,9.0,Online,Yes,Dissatisfied,Yes,No,Yes,71.0
S00064,Female,20.0,Commerce,9.0,Online,Yes,Very Dissatisfied,Yes,Yes,No,76.0
S00065,,20.0,Engineering,4.0,Offline,,Very Satisfied,No,Yes,No,40.0
S00066,Female,20.0,Engineering,9.0,Online,Yes,Dissatisfied,No,No,Yes,70.0
S00067,Female,22.0,Medicine,5.0,Hybrid,Yes,Very Dissatisfied,No,Yes,No,42.0
S00068,Female,22.0,Commerce,3.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes,40.0
S00069,Female,18.0,Arts,12.0,Offline,Yes,Neutral,Yes,Yes,No,100.0
S00070,Male,19.0,Engineering,2.0,Offline,Yes,Satisfied,Yes,Yes,,40.0
S00071,Other,23.0,Law,4.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,40.0
S00072,Female,24.0,Law,6.0,Hybrid,Yes,Dissatisfied,No,No,Yes,44.0
S00073,Female,19.0,Commerce,10.0,Offline,Yes,Satisfied,No,No,No,75.0
S00074,,21.0,Arts,5.0,Online,Yes,Very Satisfied,No,Yes,No,42.0
S00075,Female,22.0,Commerce,1.0,Hybrid,Yes,,Yes,Yes,Yes,40.0
S00076,Female,20.0,Engineering,0.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,40.0
S00077,Female,20.0,Law,4.0,Online,No,Neutral,Yes,Yes,Yes,40.0
S00078,Other,21.0,Science,4.0,Offline,Yes,Very Satisfied,No,No,No,40.0
S00079,Other,19.0,Commerce,11.0,Online,Yes,Very Satisfied,Yes,Yes,Yes,92.0
S00080,Female,20.0,Science,11.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes,92.0
S00081,,19.0,Science,5.0,,Yes,Satisfied,,Yes,No,40.0
S00082,Male,23.0,Medicine,2.0,Offline,Yes,Neutral,Yes,No,No,40.0
S00083,Female,21.0,Law,0.0,,Yes,Very Dissatisfied,No,Yes,No,40.0
S00084,Male,24.0,Commerce,3.0,Hybrid,Yes,Very Dissatisfied,,No,No,40.0
S00085,Male,19.0,Science,3.0,Hybrid,Yes,Satisfied,No,No,No,40.0
S00086,Female,23.0,Engineering,9.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,77.0
S00087,Other,25.0,Medicine,1.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,40.0
S00088,Male,25.0,Arts,7.0,Offline,Yes,Neutral,No,Yes,No,58.0
S00089,Female,19.0,,6.0,Offline,Yes,Satisfied,Yes,Yes,Yes,49.0
S00090,Male,25.0,Arts,11.0,Offline,Yes,Satisfied,Yes,No,Yes,86.0
S00091,Male,19.0,Law,2.0,Hybrid,Yes,Very Satisfied,No,No,No,40.0
S00092,Male,20.0,Commerce,0.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,40.0
S00093,Male,18.0,Commerce,11.0,Offline,Yes,,No,Yes,Yes,88.0
S00094,Other,25.0,Arts,10.0,Online,Yes,Neutral,No,No,Yes,83.0
S00095,Male,22.0,Engineering,2.0,Online,Yes,Neutral,No,No,No,40.0
S00096,Male,19.0,Arts,7.0,Online,Yes,Dissatisfied,Yes,No,No,58.0
S00097,Male,19.0,Arts,3.0,Online,,Very Satisfied,No,Yes,No,40.0
S00098,Other,19.0,Commerce,2.0,Online,Yes,Dissatisfied,Yes,Yes,No,40.0
S00099,Male,18.0,Science,12.0,Offline,No,Dissatisfied,No,Yes,Yes,96.0
S00100,,23.0,Engineering,10.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes,83.0
S00101,Other,25.0,Commerce,3.0,Online,Yes,Dissatisfied,Yes,No,Yes,40.0
S00102,Other,24.0,Medicine,10.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes,75.0
S00103,Other,24.0,Arts,3.0,Hybrid,Yes,Very Dissatisfied,No,No,No,40.0
S00104,Male,21.0,Science,1.0,Offline,Yes,Very Satisfied,No,No,No,40.0
S00105,Other,20.0,Engineering,3.0,Online,Yes,Satisfied,,Yes,Yes,40.0
S00106,Other,18.0,Law,10.0,Hybrid,Yes,Satisfied,No,No,Yes,79.0
S00107,Male,23.0,Engineering,11.0,Hybrid,,Dissatisfied,Yes,Yes,No,85.0
S00108,Other,19.0,Engineering,8.0,,Yes,Satisfied,Yes,Yes,Yes,67.0
S00109,Male,23.0,Arts,3.0,Offline,No,Very Satisfied,Yes,No,Yes,40.0
S00110,Female,18.0,Arts,11.0,Offline,Yes,Very Dissatisfied,Yes,No,Yes,85.0
S00111,Other,18.0,Law,0.0,Online,Yes,Very Satisfied,Yes,No,Yes,40.0
S00112,Female,18.0,Law,0.0,Hybrid,Yes,Neutral,,,Yes,40.0
S00113,,21.0,Law,0.0,Offline,No,Dissatisfied,No,No,No,40.0
S00114,Other,22.0,Commerce,4.0,Offline,Yes,Very Dissatisfied,No,Yes,No,40.0
S00115,Male,20.0,Commerce,5.0,Hybrid,Yes,Dissatisfied,Yes,No,No,40.0
S00116,Female,21.0,Arts,11.0,Hybrid,Yes,Neutral,No,Yes,Yes,84.0
S00117,Male,21.0,Arts,5.0,Hybrid,Yes,Satisfied,No,Yes,No,40.0
S00118,Other,25.0,Law,6.0,Hybrid,Yes,Neutral,No,No,Yes,50.0
S00119,Other,22.0,Commerce,8.0,Online,Yes,Satisfied,Yes,No,Yes,65.0
S00120,Female,21.0,Science,0.0,Hybrid,Yes,Dissatisfied,No,Yes,No,40.0
S00121,Male,18.0,Commerce,9.0,Offline,Yes,Dissatisfied,No,Yes,Yes,72.0
S00122,Other,18.0,Arts,5.0,Hybrid,Yes,Dissatisfied,Yes,No,No,40.0
S00123,Female,25.0,Commerce,12.0,Hybrid,Yes,,No,Yes,No,95.0
S00124,Other,23.0,Arts,7.0,Online,Yes,Very Dissatisfied,No,,Yes,51.0
S00125,Other,19.0,Law,7.0,Online,Yes,Very Satisfied,Yes,No,No,57.0
S00126,Male,21.0,Law,11.0,Hybrid,No,Neutral,Yes,No,No,91.0
S00127,,19.0,,2.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,40.0
S00128,Male,20.0,Science,12.0,Online,Yes,Dissatisfied,Yes,Yes,Yes,92.0
S00129,,24.0,Science,4.0,Online,Yes,Dissatisfied,No,Yes,Yes,40.0
S00130,Female,18.0,Arts,6.0,Online,Yes,Dissatisfied,Yes,No,,45.0
S00131,,23.0,Engineering,3.0,Hybrid,Yes,Satisfied,No,Yes,No,40.0
S00132,Male,20.0,Medicine,11.0,Online,Yes,Neutral,Yes,No,No,89.0
S00133,Male,25.0,,0.0,Online,Yes,Very Satisfied,Yes,No,No,40.0
S00134,Female,23.0,Arts,8.0,Offline,Yes,Neutral,Yes,Yes,Yes,68.0
S00135,Other,24.0,Commerce,4.0,Hybrid,Yes,Satisfied,No,No,Yes,40.0
S00136,Other,24.0,Law,1.0,Online,Yes,Satisfied,,Yes,No,40.0
S00137,Female,25.0,Law,11.0,Offline,Yes,Neutral,No,Yes,No,86.0
S00138,Other,22.0,Law,1.0,Online,Yes,Satisfied,No,Yes,Yes,40.0
S00139,Other,25.0,Arts,10.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,No,75.0
S00140,Male,18.0,Law,6.0,Offline,Yes,Dissatisfied,Yes,No,Yes,53.0
S00141,Other,20.0,Science,3.0,Offline,Yes,Very Satisfied,Yes,,Yes,40.0
S00142,Other,22.0,Commerce,0.0,Hybrid,Yes,Satisfied,No,Yes,Yes,40.0
S00143,Female,24.0,Law,4.0,Offline,Yes,Very Satisfied,No,No,No,40.0
S00144,,20.0,,1.0,Offline,Yes,Dissatisfied,Yes,No,Yes,40.0
S00145,Male,23.0,Commerce,6.0,Online,Yes,Neutral,Yes,Yes,No,47.0
S00146,Other,22.0,Law,8.0,Offline,Yes,Dissatisfied,No,No,Yes,65.0
S00147,Other,22.0,Engineering,12.0,Hybrid,Yes,Very Satisfied,No,Yes,No,92.0
S00148,Other,18.0,Law,0.0,Online,Yes,Very Dissatisfied,Yes,No,Yes,40.0
S00149,Male,25.0,Medicine,11.0,Offline,Yes,Neutral,Yes,No,No,88.0
S00150,Male,19.0,Science,1.0,Online,Yes,Satisfied,Yes,Yes,No,40.0
S00151,Female,23.0,Commerce,10.0,Hybrid,Yes,Very Dissatisfied,No,Yes,Yes,81.0
S00152,,23.0,Science,5.0,Offline,Yes,Dissatisfied,No,No,Yes,40.0
S00153,Other,25.0,Engineering,7.0,Hybrid,Yes,,Yes,No,Yes,57.0
S00154,Other,22.0,Engineering,6.0,Hybrid,Yes,Very Satisfied,Yes,Yes,Yes,46.0
S00155,Male,22.0,Medicine,8.0,Offline,Yes,Very Satisfied,Yes,Yes,Yes,66.0
S00156,Other,18.0,Science,1.0,Offline,Yes,Dissatisfied,No,Yes,No,40.0
S00157,Other,19.0,Commerce,11.0,Online,Yes,Neutral,No,Yes,No,88.0
S00158,Male,23.0,Engineering,8.0,Hybrid,Yes,Satisfied,Yes,Yes,No,67.0
S00159,Male,24.0,Engineering,3.0,Offline,Yes,Very Dissatisfied,Yes,Yes,No,40.0
S00160,Other,21.0,Law,10.0,Hybrid,Yes,Dissatisfied,Yes,Yes,Yes,78.0
S00161,Other,21.0,Medicine,2.0,Offline,,Very Satisfied,No,Yes,Yes,40.0
S00162,,19.0,Arts,6.0,Hybrid,Yes,,No,No,Yes,51.0
S00163,Female,,Engineering,4.0,Online,Yes,Very Satisfied,No,Yes,Yes,40.0
S00164,Female,18.0,,12.0,Hybrid,Yes,Dissatisfied,No,Yes,,93.0
S00165,Female,19.0,,4.0,Offline,Yes,Very Satisfied,Yes,Yes,No,40.0
S00166,Male,25.0,Law,11.0,Online,Yes,Dissatisfied,Yes,No,,87.0
S00167,Female,25.0,Commerce,12.0,Online,Yes,Very Satisfied,No,Yes,No,92.0
S00168,Male,21.0,Law,1.0,Offline,Yes,Dissatisfied,No,Yes,No,40.0
S00169,Male,22.0,Engineering,5.0,,Yes,Very Satisfied,No,No,Yes,43.0
S00170,Female,,Engineering,5.0,Hybrid,Yes,Satisfied,Yes,No,Yes,40.0
S00171,Female,22.0,Engineering,11.0,Hybrid,Yes,Satisfied,No,No,No,84.0
S00172,Female,18.0,Engineering,3.0,Offline,Yes,Very Satisfied,Yes,Yes,No,40.0
S00173,Other,22.0,Arts,4.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No,40.0
S00174,Female,19.0,Medicine,6.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes,53.0
S00175,Other,22.0,Medicine,7.0,Online,Yes,Dissatisfied,No,Yes,Yes,53.0
S00176,Male,20.0,Arts,5.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes,41.0
S00177,Other,25.0,Engineering,4.0,Offline,Yes,Neutral,No,Yes,No,40.0
S00178,Female,19.0,Commerce,11.0,Hybrid,Yes,Very Satisfied,No,Yes,No,83.0
S00179,Male,25.0,Law,2.0,Online,Yes,Very Satisfied,,No,No,40.0
S00180,,,Medicine,6.0,Online,Yes,Very Satisfied,Yes,No,Yes,50.0
S00181,Male,19.0,Science,7.0,Hybrid,Yes,Very Satisfied,No,Yes,No,53.0
S00182,Other,20.0,Law,2.0,Online,Yes,Dissatisfied,Yes,No,Yes,40.0
S00183,Female,18.0,Science,4.0,Offline,Yes,Dissatisfied,,No,Yes,40.0
S00184,Male,21.0,Science,10.0,Hybrid,Yes,Neutral,No,Yes,Yes,77.0
S00185,Male,20.0,Engineering,1.0,Hybrid,No,Dissatisfied,No,Yes,Yes,40.0
S00186,Male,18.0,Science,9.0,Online,Yes,Very Satisfied,,,Yes,67.0
S00187,Other,24.0,Engineering,9.0,Offline,Yes,,No,No,No,71.0
S00188,Other,22.0,Arts,11.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes,83.0
S00189,Female,19.0,Commerce,3.0,Hybrid,Yes,Dissatisfied,No,Yes,Yes,40.0
S00190,Other,18.0,,11.0,Online,Yes,Very Dissatisfied,Yes,Yes,No,92.0
S00191,Male,19.0,Commerce,3.0,Online,Yes,Very Satisfied,No,No,No,40.0
S00192,Female,22.0,Engineering,11.0,Offline,Yes,Dissatisfied,Yes,Yes,No,93.0
S00193,Male,18.0,Science,12.0,Offline,Yes,Very Satisfied,No,Yes,Yes,97.0
S00194,Male,,Law,7.0,Online,Yes,Very Dissatisfied,No,Yes,Yes,56.0
S00195,Other,24.0,Arts,2.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes,40.0
S00196,Female,24.0,Medicine,4.0,Online,Yes,Satisfied,Yes,Yes,No,40.0
S00197,Other,20.0,,10.0,Hybrid,Yes,Satisfied,No,Yes,Yes,76.0
S00198,Other,18.0,Science,4.0,Online,Yes,Dissatisfied,No,Yes,No,40.0
S00199,Female,22.0,Arts,1.0,Online,No,Dissatisfied,Yes,Yes,No,40.0
S00200,Male,18.0,Medicine,6.0,Online,No,Dissatisfied,No,Yes,Yes,43.0
S00201,Male,19.0,Law,3.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No,40.0
S00202,,23.0,Commerce,8.0,Offline,Yes,Dissatisfied,,Yes,No,66.0
S00203,Male,25.0,Law,8.0,,Yes,Dissatisfied,Yes,Yes,Yes,64.0
S00204,Female,18.0,Arts,1.0,Offline,Yes,Dissatisfied,Yes,Yes,Yes,40.0
S00205,Female,24.0,Medicine,8.0,Online,Yes,Very Dissatisfied,Yes,Yes,Yes,65.0
S00206,Other,,Commerce,8.0,Online,Yes,,Yes,,Yes,62.0
S00207,Female,25.0,Medicine,1.0,Offline,Yes,Very Dissatisfied,No,No,Yes,40.0
S00208,,24.0,Law,10.0,Hybrid,Yes,Very Satisfied,Yes,No,,80.0
S00209,Male,21.0,Engineering,12.0,Hybrid,Yes,Neutral,No,Yes,Yes,100.0
S00210,Male,18.0,Engineering,5.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No,43.0
S00211,Male,20.0,Commerce,8.0,Hybrid,Yes,Dissatisfied,No,No,No,69.0
S00212,Male,18.0,Commerce,3.0,Online,Yes,Neutral,Yes,Yes,No,40.0
S00213,Other,23.0,Commerce,1.0,Offline,Yes,Very Dissatisfied,Yes,No,Yes,40.0
S00214,Male,24.0,Engineering,6.0,Hybrid,Yes,Very Dissatisfied,No,No,Yes,45.0
S00215,Female,19.0,Law,8.0,Online,Yes,Satisfied,No,No,No,61.0
S00216,Female,,Commerce,5.0,Online,Yes,Dissatisfied,Yes,Yes,Yes,40.0
S00217,Female,,Engineering,10.0,Online,Yes,Dissatisfied,Yes,Yes,No,79.0
S00218,Other,21.0,Commerce,10.0,Offline,Yes,Satisfied,No,Yes,Yes,78.0
S00219,Male,22.0,Commerce,3.0,Online,No,Very Satisfied,No,Yes,Yes,40.0
S00220,Male,18.0,Medicine,0.0,Offline,No,Satisfied,Yes,Yes,Yes,40.0
S00221,Male,18.0,Commerce,3.0,Offline,Yes,,Yes,Yes,Yes,40.0
S00222,Other,20.0,,2.0,Offline,,Very Dissatisfied,No,Yes,Yes,40.0
S00223,Female,21.0,Law,6.0,Offline,No,Satisfied,Yes,No,No,53.0
S00224,Female,23.0,Engineering,10.0,Online,Yes,Neutral,Yes,Yes,No,80.0
S00225,Male,22.0,Engineering,12.0,Online,Yes,,No,No,No,97.0
S00226,Female,24.0,Commerce,10.0,Online,Yes,,No,No,No,78.0
S00227,,19.0,Medicine,9.0,Hybrid,No,Very Dissatisfied,Yes,Yes,No,72.0
S00228,Other,18.0,Science,4.0,Hybrid,,Very Satisfied,Yes,Yes,No,40.0
S00229,Other,23.0,Science,11.0,Offline,Yes,Very Dissatisfied,No,No,,86.0
S00230,Other,22.0,Science,2.0,Offline,Yes,Dissatisfied,No,Yes,Yes,40.0
S00231,Other,19.0,Engineering,1.0,Offline,Yes,Very Satisfied,No,No,Yes,40.0
S00232,Male,23.0,Commerce,12.0,Offline,Yes,Very Satisfied,No,No,Yes,91.0
S00233,Other,21.0,Science,1.0,Offline,No,Satisfied,No,Yes,No,40.0
S00234,Female,21.0,Arts,4.0,Hybrid,Yes,Very Dissatisfied,Yes,,Yes,40.0
S00235,Male,22.0,Arts,12.0,Offline,Yes,Very Satisfied,No,Yes,Yes,100.0
S00236,Female,24.0,,12.0,Online,No,Very Satisfied,No,No,Yes,95.0
S00237,Female,25.0,Law,7.0,Offline,Yes,Very Dissatisfied,No,Yes,No,52.0
S00238,Female,19.0,Commerce,7.0,Online,Yes,Very Dissatisfied,Yes,Yes,No,60.0
S00239,,21.0,Engineering,11.0,Online,Yes,Neutral,Yes,Yes,Yes,88.0
S00240,Other,25.0,Engineering,4.0,Online,Yes,Satisfied,No,No,No,40.0
S00241,Male,22.0,Commerce,12.0,Online,Yes,Very Satisfied,Yes,No,No,92.0
S00242,Male,21.0,Medicine,6.0,Offline,No,Very Dissatisfied,No,No,No,44.0
S00243,Other,21.0,Medicine,12.0,Offline,Yes,Very Satisfied,No,Yes,Yes,100.0
S00244,Female,23.0,Law,3.0,Offline,,Neutral,No,Yes,No,40.0
S00245,Male,25.0,Commerce,6.0,Offline,Yes,Neutral,,Yes,Yes,43.0
S00246,Other,23.0,Medicine,5.0,Offline,Yes,Very Satisfied,Yes,No,No,40.0
S00247,,21.0,Law,9.0,Hybrid,Yes,Satisfied,Yes,No,No,73.0
S00248,Other,25.0,Science,6.0,Online,Yes,Dissatisfied,No,Yes,No,51.0
S00249,Female,20.0,Science,4.0,Online,Yes,Very Satisfied,Yes,No,Yes,40.0
S00250,Other,25.0,Law,1.0,Hybrid,Yes,Neutral,No,Yes,No,40.0
S00251,Other,23.0,Commerce,7.0,Hybrid,Yes,Satisfied,Yes,No,Yes,57.0
S00252,Other,19.0,Science,11.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes,89.0
S00253,Other,22.0,Commerce,1.0,Offline,Yes,Satisfied,No,Yes,No,40.0
S00254,Male,22.0,Medicine,11.0,Online,Yes,Satisfied,Yes,No,Yes,84.0
S00255,Male,24.0,Science,7.0,Offline,Yes,Very Satisfied,No,No,Yes,56.0
S00256,Other,19.0,Medicine,6.0,Online,Yes,Satisfied,Yes,Yes,Yes,44.0
S00257,Female,19.0,Commerce,2.0,Offline,Yes,Very Dissatisfied,No,Yes,Yes,40.0
S00258,Male,19.0,Commerce,12.0,Offline,Yes,Very Satisfied,No,No,No,100.0
S00259,Other,24.0,Arts,3.0,Online,Yes,Neutral,Yes,No,Yes,40.0
S00260,Male,19.0,Law,12.0,,Yes,Very Dissatisfied,No,No,No,92.0
S00261,Male,18.0,Engineering,6.0,Hybrid,Yes,Very Satisfied,No,Yes,Yes,48.0
S00262,Female,24.0,Law,3.0,Offline,Yes,,No,Yes,Yes,40.0
S00263,Other,22.0,Commerce,8.0,Hybrid,Yes,Dissatisfied,,No,No,63.0
S00264,,18.0,Commerce,6.0,Offline,Yes,Very Dissatisfied,Yes,Yes,Yes,44.0
S00265,Female,24.0,Law,0.0,Hybrid,Yes,Satisfied,Yes,Yes,No,40.0
S00266,Female,21.0,Commerce,0.0,Hybrid,Yes,Very Dissatisfied,Yes,Yes,Yes,40.0
S00267,Other,21.0,Medicine,3.0,Online,Yes,Very Dissatisfied,No,Yes,No,40.0
S00268,Other,22.0,Science,12.0,Hybrid,Yes,,Yes,Yes,No,96.0
S00269,Female,21.0,Commerce,8.0,Offline,Yes,Satisfied,Yes,Yes,,68.0
S00270,Male,19.0,Law,12.0,Online,Yes,Dissatisfied,No,No,Yes,93.0
S00271,Male,24.0,Law,3.0,Hybrid,Yes,,No,Yes,No,40.0
S00272,Female,18.0,Law,12.0,Online,Yes,Dissatisfied,Yes,No,Yes,91.0
S00273,Male,19.0,Arts,4.0,,Yes,Very Dissatisfied,,Yes,No,40.0
S00274,Female,21.0,Medicine,0.0,Offline,Yes,Dissatisfied,No,Yes,Yes,40.0
S00275,Male,23.0,Medicine,1.0,Offline,Yes,Neutral,,No,Yes,40.0
S00276,Male,25.0,Arts,10.0,Online,Yes,Satisfied,No,Yes,Yes,78.0
S00277,Other,18.0,Medicine,3.0,Hybrid,Yes,Satisfied,No,Yes,No,40.0
S00278,Other,19.0,Arts,11.0,Hybrid,Yes,Dissatisfied,Yes,No,No,89.0
S00279,Male,24.0,Medicine,3.0,Online,Yes,Very Dissatisfied,Yes,No,,40.0
S00280,Male,22.0,Arts,10.0,Online,Yes,Very Satisfied,No,Yes,Yes,75.0
S00281,Other,,Arts,9.0,Offline,Yes,Very Satisfied,No,No,Yes,70.0
S00282,Other,23.0,Medicine,5.0,Online,Yes,Very Dissatisfied,Yes,Yes,No,40.0
S00283,Other,21.0,Arts,12.0,Hybrid,Yes,Dissatisfied,Yes,Yes,No,93.0
S00284,Female,18.0,Medicine,5.0,Online,Yes,Dissatisfied,Yes,No,No,40.0
S00285,Male,22.0,Arts,7.0,Offline,Yes,Neutral,Yes,Yes,No,60.0
S00286,Other,18.0,Law,11.0,Online,,Very Satisfied,No,No,No,91.0
S00287,Male,22.0,,12.0,Hybrid,Yes,Very Satisfied,Yes,Yes,No,100.0
S00288,Female,25.0,Medicine,8.0,Online,Yes,Satisfied,,Yes,Yes,61.0
S00289,Female,24.0,Arts,0.0,Online,Yes,Dissatisfied,No,Yes,No,40.0
S00290,Other,18.0,Law,0.0,Online,Yes,Very Dissatisfied,Yes,No,No,40.0
S00291,Female,21.0,Engineering,5.0,Offline,Yes,Dissatisfied,No,,No,40.0
S00292,Male,24.0,Arts,3.0,Offline,Yes,Dissatisfied,No,Yes,Yes,40.0
S00293,Other,24.0,Engineering,10.0,,Yes,Neutral,No,No,Yes,82.0
S00294,Male,25.0,Medicine,3.0,Offline,Yes,Very Dissatisfied,No,No,Yes,40.0
